seq,send_ts,ack_ts,rtt_ms,outcome
1,1762590706.502210,,,TIMEOUT
2,1762590707.615423,,,TIMEOUT
3,1762590708.718020,,,TIMEOUT
4,1762590709.813954,,,TIMEOUT
5,1762590710.904988,,,TIMEOUT
6,1762590712.009708,,,TIMEOUT
7,1762590713.118544,,,TIMEOUT
8,1762590714.220599,,,TIMEOUT
9,1762590715.320504,,,TIMEOUT
10,1762590716.425996,,,TIMEOUT
11,1762590717.529026,,,TIMEOUT
12,1762590718.632544,,,TIMEOUT
13,1762590719.731560,,,TIMEOUT
14,1762590720.842353,,,TIMEOUT
15,1762590721.948586,,,TIMEOUT
16,1762590723.043917,,,TIMEOUT
17,1762590724.151785,,,TIMEOUT
18,1762590725.254522,,,TIMEOUT
19,1762590726.361883,,,TIMEOUT
20,1762590727.454314,,,TIMEOUT
21,1762590728.549134,,,TIMEOUT
22,1762590729.648539,,,TIMEOUT
23,1762590730.746104,,,TIMEOUT
24,1762590731.854094,,,TIMEOUT
25,1762590732.955967,,,TIMEOUT
26,1762590734.050786,,,TIMEOUT
27,1762590735.161016,,,TIMEOUT
28,1762590736.267560,,,TIMEOUT
29,1762590737.376215,,,TIMEOUT
30,1762590738.470119,,,TIMEOUT
31,1762590739.569306,,,TIMEOUT
32,1762590740.675964,1762590740.714574,39.808,ACKED
33,1762590740.823244,1762590740.839099,16.267,ACKED
34,1762590740.936430,1762590740.952970,16.827,ACKED
35,1762590741.055325,,,TIMEOUT
36,1762590742.166628,1762590742.184404,18.323,ACKED
37,1762590742.280175,1762590742.297108,17.019,ACKED
38,1762590742.391046,1762590742.413047,23.455,ACKED
39,1762590742.515949,1762590742.534493,19.226,ACKED
40,1762590742.634673,1762590742.714453,79.742,ACKED
41,1762590742.811638,1762590742.827808,16.708,ACKED
42,1762590742.931101,1762590742.946633,16.129,ACKED
43,1762590743.044402,1762590743.062935,18.760,ACKED
44,1762590743.160508,1762590743.177080,16.713,ACKED
45,1762590743.268654,1762590743.284834,16.232,ACKED
46,1762590743.389362,,,TIMEOUT
47,1762590744.486831,1762590744.503355,16.984,ACKED
48,1762590744.594724,1762590744.610741,16.394,ACKED
49,1762590744.713449,1762590744.728031,15.532,ACKED
50,1762590744.835754,,,TIMEOUT
51,1762590745.930731,1762590745.946814,16.155,ACKED
52,1762590746.052987,1762590746.069047,16.596,ACKED
53,1762590746.179731,1762590746.196860,17.385,ACKED
54,1762590746.296125,1762590746.312156,16.872,ACKED
55,1762590746.406899,1762590746.422441,15.932,ACKED
56,1762590746.515714,1762590746.533295,17.589,ACKED
57,1762590746.633547,1762590746.650086,17.358,ACKED
58,1762590746.755732,1762590746.773337,17.727,ACKED
59,1762590746.876201,1762590746.892247,16.700,ACKED
60,1762590746.984629,1762590747.010134,25.057,ACKED
61,1762590747.103240,1762590747.118898,16.198,ACKED
62,1762590747.212971,1762590747.229017,16.392,ACKED
63,1762590747.327586,1762590747.344138,17.284,ACKED
64,1762590747.446834,1762590747.463243,16.856,ACKED
65,1762590747.563278,1762590747.578919,16.117,ACKED
66,1762590747.682745,1762590747.698801,16.950,ACKED
67,1762590747.804716,1762590747.820063,16.073,ACKED
68,1762590747.914169,1762590747.930920,16.964,ACKED
69,1762590748.022915,1762590748.039983,17.647,ACKED
70,1762590748.149100,1762590748.167804,18.988,ACKED
71,1762590748.272131,1762590748.288813,17.532,ACKED
72,1762590748.398650,1762590748.414454,16.911,ACKED
73,1762590748.524226,1762590748.540751,17.001,ACKED
74,1762590748.649373,1762590748.664896,15.730,ACKED
75,1762590748.771254,,,TIMEOUT
76,1762590749.877242,1762590749.954911,78.219,ACKED
77,1762590750.052739,1762590750.114700,62.045,ACKED
78,1762590750.209828,,,TIMEOUT
79,1762590751.314422,1762590751.334591,20.868,ACKED
80,1762590751.443117,1762590751.514221,71.204,ACKED
81,1762590751.620005,1762590751.637002,17.092,ACKED
82,1762590751.728978,1762590751.744561,16.066,ACKED
83,1762590751.852044,1762590751.869026,17.431,ACKED
84,1762590751.974496,1762590752.014116,39.981,ACKED
85,1762590752.120074,1762590752.136067,16.749,ACKED
86,1762590752.244564,1762590752.263121,18.633,ACKED
87,1762590752.360554,1762590752.376537,16.535,ACKED
88,1762590752.484721,1762590752.499926,16.076,ACKED
89,1762590752.605595,1762590752.623001,17.512,ACKED
90,1762590752.721009,,,TIMEOUT
91,1762590753.818822,1762590753.835984,17.446,ACKED
92,1762590753.930496,1762590753.946092,16.212,ACKED
93,1762590754.038652,1762590754.057313,19.548,ACKED
94,1762590754.151084,1762590754.169155,18.644,ACKED
95,1762590754.266687,1762590754.282970,16.168,ACKED
96,1762590754.378670,1762590754.395639,17.373,ACKED
97,1762590754.505949,1762590754.523018,17.036,ACKED
98,1762590754.618439,1762590754.634532,16.739,ACKED
99,1762590754.733708,,,TIMEOUT
100,1762590755.826914,1762590755.842416,16.113,ACKED
