seq,send_ts,ack_ts,rtt_ms,outcome
1,1762749415.107880,1762749415.119386,11.484,ACKED
2,1762749415.229298,1762749415.236160,6.792,ACKED
3,1762749415.341367,1762749415.347538,6.117,ACKED
4,1762749415.443771,,,TIMEOUT
5,1762749416.542057,1762749416.557367,15.117,ACKED
6,1762749416.661370,1762749416.667021,5.568,ACKED
7,1762749416.779803,1762749416.788219,8.258,ACKED
8,1762749416.893468,1762749416.900582,7.043,ACKED
9,1762749417.004503,1762749417.009864,5.306,ACKED
10,1762749417.119698,1762749417.125145,5.387,ACKED
11,1762749417.230315,1762749417.235834,5.438,ACKED
12,1762749417.340153,1762749417.346689,6.364,ACKED
13,1762749417.446869,1762749417.453082,6.069,ACKED
14,1762749417.564148,1762749417.570519,6.225,ACKED
15,1762749417.676408,,,TIMEOUT
16,1762749418.771523,1762749418.784316,12.651,ACKED
17,1762749418.894364,1762749418.900104,5.613,ACKED
18,1762749419.002817,1762749419.008170,5.309,ACKED
19,1762749419.118627,,,TIMEOUT
20,1762749420.213351,1762749420.225638,12.122,ACKED
21,1762749420.322140,1762749420.327691,5.449,ACKED
22,1762749420.430226,1762749420.436217,5.860,ACKED
23,1762749420.533184,1762749420.539714,6.381,ACKED
24,1762749420.647587,1762749420.653624,5.913,ACKED
25,1762749420.755938,1762749420.762883,6.790,ACKED
26,1762749420.861781,1762749420.868071,6.125,ACKED
27,1762749420.977964,1762749420.984322,6.191,ACKED
28,1762749421.093786,1762749421.098526,4.695,ACKED
29,1762749421.205929,1762749421.210899,4.904,ACKED
30,1762749421.308761,1762749421.323230,14.325,ACKED
31,1762749421.425971,1762749421.431623,5.508,ACKED
32,1762749421.539378,1762749421.546033,6.517,ACKED
33,1762749421.658290,1762749421.664578,6.114,ACKED
34,1762749421.766290,1762749421.772580,6.138,ACKED
35,1762749421.879674,1762749421.885945,6.104,ACKED
36,1762749421.996538,1762749422.003218,6.544,ACKED
37,1762749422.102440,1762749422.136584,33.971,ACKED
38,1762749422.230463,1762749422.236319,5.742,ACKED
39,1762749422.338127,1762749422.344736,6.449,ACKED
40,1762749422.447896,1762749422.454047,6.037,ACKED
41,1762749422.551231,1762749422.557485,6.110,ACKED
42,1762749422.663305,1762749422.669815,6.367,ACKED
43,1762749422.771653,1762749422.777196,5.418,ACKED
44,1762749422.874836,,,TIMEOUT
45,1762749423.968503,1762749423.983362,14.717,ACKED
46,1762749424.088349,1762749424.095174,6.671,ACKED
47,1762749424.192769,,,TIMEOUT
48,1762749425.290436,1762749425.303855,13.383,ACKED
49,1762749425.406060,1762749425.411152,5.027,ACKED
50,1762749425.521731,1762749425.528544,6.634,ACKED
51,1762749425.626993,1762749425.633183,6.026,ACKED
52,1762749425.744245,1762749425.750942,6.513,ACKED
53,1762749425.863914,1762749425.869983,5.895,ACKED
54,1762749425.968794,1762749425.986636,17.724,ACKED
55,1762749426.081199,1762749426.092374,11.058,ACKED
56,1762749426.188968,1762749426.194765,5.653,ACKED
57,1762749426.298102,1762749426.303979,5.750,ACKED
58,1762749426.408861,1762749426.448466,39.462,ACKED
59,1762749426.554222,,,TIMEOUT
60,1762749427.652829,1762749427.658230,5.270,ACKED
61,1762749427.751958,1762749427.799215,47.128,ACKED
62,1762749427.897669,1762749427.975638,77.882,ACKED
63,1762749428.073727,1762749428.151547,77.762,ACKED
64,1762749428.258163,1762749428.328023,69.741,ACKED
65,1762749428.431157,1762749428.503503,72.192,ACKED
66,1762749428.611486,1762749428.681089,69.417,ACKED
67,1762749428.790710,1762749428.935192,144.402,ACKED
68,1762749429.029209,,,TIMEOUT
69,1762749430.128872,1762749430.147961,18.938,ACKED
70,1762749430.261403,1762749430.267497,5.927,ACKED
71,1762749430.376421,1762749430.382681,6.123,ACKED
72,1762749430.492083,1762749430.498405,6.165,ACKED
73,1762749430.608450,1762749430.656375,47.761,ACKED
74,1762749430.766416,1762749430.772686,6.137,ACKED
75,1762749430.879957,1762749430.885754,5.629,ACKED
76,1762749430.995508,1762749431.002046,6.384,ACKED
77,1762749431.102822,1762749431.109375,6.388,ACKED
78,1762749431.205473,1762749431.211779,6.158,ACKED
79,1762749431.320558,1762749431.326990,6.288,ACKED
80,1762749431.439676,1762749431.444845,5.130,ACKED
81,1762749431.555385,,,TIMEOUT
82,1762749432.650789,1762749432.657355,6.424,ACKED
83,1762749432.769052,1762749432.774396,5.228,ACKED
84,1762749432.879610,1762749432.885511,5.759,ACKED
85,1762749432.994342,1762749433.000363,5.894,ACKED
86,1762749433.111464,1762749433.116816,5.296,ACKED
87,1762749433.218928,1762749433.225015,5.975,ACKED
88,1762749433.334343,1762749433.341399,6.877,ACKED
89,1762749433.449159,1762749433.454239,5.038,ACKED
90,1762749433.556886,1762749433.562201,5.266,ACKED
91,1762749433.663550,1762749433.668300,4.663,ACKED
92,1762749433.762222,,,TIMEOUT
93,1762749434.858391,1762749434.873939,15.379,ACKED
94,1762749434.971780,1762749434.977831,5.916,ACKED
95,1762749435.076266,1762749435.082639,6.203,ACKED
96,1762749435.182689,1762749435.188959,6.102,ACKED
97,1762749435.299140,1762749435.305655,6.381,ACKED
98,1762749435.405838,1762749435.412302,6.308,ACKED
99,1762749435.511885,1762749435.517387,5.410,ACKED
100,1762749435.613661,1762749435.618721,5.008,ACKED
